# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_004775db0565465c30b91127bf1a0445_model
# start_datetime = 2024-02-07 14:47:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpehMe5f/standata-9b73788d63f.json
# init = 2 (Default)
# random
#   seed = 2356
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpehMe5f/model_004775db0565465c30b91127bf1a0445-202402071047-3-8ee7ee.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpehMe5f/model_004775db0565465c30b91127bf1a0445-profile-202402071047-3-5d989f.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = --name=model_004775db0565465c30b91127bf1a0445_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept_y,bsp_y.1,zerr_y.1,zerr_y.2,zerr_y.3,zerr_y.4,zerr_y.5,zerr_y.6,zerr_y.7,zerr_y.8,zerr_y.9,zerr_y.10,zerr_y.11,zerr_y.12,zerr_y.13,zerr_y.14,zerr_y.15,zerr_y.16,zerr_y.17,zerr_y.18,zerr_y.19,zerr_y.20,zerr_y.21,zerr_y.22,zerr_y.23,zerr_y.24,zerr_y.25,zerr_y.26,zerr_y.27,zerr_y.28,zerr_y.29,zerr_y.30,zerr_y.31,zerr_y.32,zerr_y.33,zerr_y.34,zerr_y.35,zerr_y.36,zerr_y.37,zerr_y.38,zerr_y.39,zerr_y.40,zerr_y.41,zerr_y.42,zerr_y.43,zerr_y.44,zerr_y.45,zerr_y.46,zerr_y.47,zerr_y.48,zerr_y.49,zerr_y.50,zerr_y.51,zerr_y.52,zerr_y.53,zerr_y.54,zerr_y.55,zerr_y.56,zerr_y.57,zerr_y.58,zerr_y.59,zerr_y.60,zerr_y.61,zerr_y.62,zerr_y.63,zerr_y.64,zerr_y.65,zerr_y.66,zerr_y.67,zerr_y.68,zerr_y.69,zerr_y.70,zerr_y.71,zerr_y.72,zerr_y.73,zerr_y.74,zerr_y.75,zerr_y.76,zerr_y.77,zerr_y.78,zerr_y.79,zerr_y.80,zerr_y.81,zerr_y.82,zerr_y.83,zerr_y.84,zerr_y.85,zerr_y.86,zerr_y.87,zerr_y.88,zerr_y.89,zerr_y.90,zerr_y.91,zerr_y.92,zerr_y.93,zerr_y.94,zerr_y.95,zerr_y.96,zerr_y.97,zerr_y.98,zerr_y.99,zerr_y.100,zerr_y.101,zerr_y.102,zerr_y.103,zerr_y.104,zerr_y.105,zerr_y.106,zerr_y.107,zerr_y.108,zerr_y.109,zerr_y.110,zerr_y.111,zerr_y.112,zerr_y.113,zerr_y.114,zerr_y.115,zerr_y.116,zerr_y.117,zerr_y.118,zerr_y.119,zerr_y.120,sderr_y,ar_y.1,Ymi_x.1,Ymi_x.2,Ymi_x.3,Intercept_x,sigma_x,Ycens_x.1,Ycens_x.2,Ycens_x.3,Ycens_x.4,Ycens_x.5,Ycens_x.6,Ycens_x.7,Ycens_x.8,Ycens_x.9,Ycens_x.10,Ycens_x.11,Ycens_x.12,Ycens_x.13,Ycens_x.14,Ycens_x.15,Ycens_x.16,Ycens_x.17,err_y.1,err_y.2,err_y.3,err_y.4,err_y.5,err_y.6,err_y.7,err_y.8,err_y.9,err_y.10,err_y.11,err_y.12,err_y.13,err_y.14,err_y.15,err_y.16,err_y.17,err_y.18,err_y.19,err_y.20,err_y.21,err_y.22,err_y.23,err_y.24,err_y.25,err_y.26,err_y.27,err_y.28,err_y.29,err_y.30,err_y.31,err_y.32,err_y.33,err_y.34,err_y.35,err_y.36,err_y.37,err_y.38,err_y.39,err_y.40,err_y.41,err_y.42,err_y.43,err_y.44,err_y.45,err_y.46,err_y.47,err_y.48,err_y.49,err_y.50,err_y.51,err_y.52,err_y.53,err_y.54,err_y.55,err_y.56,err_y.57,err_y.58,err_y.59,err_y.60,err_y.61,err_y.62,err_y.63,err_y.64,err_y.65,err_y.66,err_y.67,err_y.68,err_y.69,err_y.70,err_y.71,err_y.72,err_y.73,err_y.74,err_y.75,err_y.76,err_y.77,err_y.78,err_y.79,err_y.80,err_y.81,err_y.82,err_y.83,err_y.84,err_y.85,err_y.86,err_y.87,err_y.88,err_y.89,err_y.90,err_y.91,err_y.92,err_y.93,err_y.94,err_y.95,err_y.96,err_y.97,err_y.98,err_y.99,err_y.100,err_y.101,err_y.102,err_y.103,err_y.104,err_y.105,err_y.106,err_y.107,err_y.108,err_y.109,err_y.110,err_y.111,err_y.112,err_y.113,err_y.114,err_y.115,err_y.116,err_y.117,err_y.118,err_y.119,err_y.120,lprior,b_y_Intercept,b_x_Intercept
# Adaptation terminated
# Step size = 0.202126
# Diagonal elements of inverse mass matrix:
# 0.111124, 0.217857, 0.704971, 0.805421, 0.779475, 0.79917, 0.70604, 0.780152, 0.759561, 0.708366, 0.860665, 0.935177, 0.749526, 0.731872, 0.715674, 0.890218, 0.847571, 0.727196, 0.687275, 0.810862, 0.884135, 1.07501, 0.824007, 0.933289, 0.890065, 0.704385, 0.843927, 0.773337, 0.740485, 0.796769, 0.642076, 0.795208, 0.864084, 0.829402, 0.774014, 0.700139, 0.629124, 0.831817, 0.857003, 0.617603, 0.649896, 0.628768, 0.798242, 0.906906, 0.809718, 0.815934, 0.613564, 0.839631, 0.712271, 0.862842, 0.741018, 0.832052, 0.915094, 0.866824, 0.756393, 0.866367, 0.668124, 0.898612, 0.873297, 0.788016, 0.873623, 0.856928, 0.967484, 0.728766, 0.803606, 0.788313, 0.650768, 0.939078, 0.773693, 0.784348, 0.86411, 0.650835, 0.722506, 0.722867, 0.668201, 0.657917, 0.733029, 0.738452, 0.818419, 0.765956, 0.854854, 0.75837, 0.63066, 0.771984, 0.918598, 0.736443, 0.828017, 0.680815, 0.868686, 0.799513, 0.744159, 0.889086, 0.721844, 0.699108, 0.886145, 0.775795, 0.854785, 0.86995, 0.933139, 0.898545, 0.899051, 0.980095, 0.716954, 0.850283, 0.843446, 0.76306, 0.789979, 0.741523, 0.803222, 0.746709, 0.755308, 0.639185, 0.923421, 1.05093, 0.766587, 0.814932, 0.850424, 0.876153, 0.659671, 0.83883, 0.795941, 0.870963, 0.33839, 2.69594, 0.785513, 0.718412, 0.663431, 0.00756085, 0.00480537, 1.7607, 1.41932, 1.69844, 1.43516, 1.57739, 1.374, 1.59178, 1.7063, 1.37165, 1.19353, 1.45045, 1.15401, 1.79108, 1.38858, 1.34568, 1.40261, 1.97825
-434.016,0.981841,0.202126,4,15,0,492.279,0.109883,1.55303,0.873181,0.322123,1.24382,-1.35686,2.03659,-0.223154,-1.76265,-0.0665522,-0.428643,-0.0227228,0.79784,-1.79037,0.727053,-0.105929,-0.0852543,0.205518,1.20273,-1.17727,0.330815,-1.9238,0.477007,0.260254,0.235803,-0.366441,1.02776,-2.75395,0.491969,2.54002,0.262631,-0.855795,0.0178116,-1.79345,-0.478807,1.15066,-0.473492,0.242401,0.659827,-0.931816,0.899757,-0.450594,0.489759,-0.199558,-0.476374,-1.51778,0.262793,-0.885543,0.586169,-2.93949,-1.26285,-1.05112,-1.34294,1.11586,-0.640903,-0.83894,-0.113433,-0.999217,-1.15451,-0.465201,-1.57581,-0.267595,0.782194,1.02409,0.196018,-0.576602,1.61112,-0.0595687,0.0529189,0.000454816,0.669937,-0.322564,0.0418989,1.36735,0.696273,1.18423,0.962264,0.774289,1.80418,0.398728,1.06969,-0.413091,-1.41288,-1.27009,1.10464,0.056431,-0.171045,-1.37463,0.825753,0.735002,1.74418,0.717372,0.322254,-0.268696,2.73957,0.0515147,-0.249274,-2.05176,0.784902,1.62244,0.651383,0.973085,-1.14225,-0.234032,-1.61118,-0.662797,0.150454,-0.786939,0.422505,-0.143963,0.0141119,-1.18449,-1.40161,1.2096,-0.934361,-1.29479,1.89554,-0.38425,-0.797898,0.102485,0.204852,-1.746,0.77315,0.860655,-0.773122,-0.0894008,-1.15865,0.0657666,0.926008,-1.61952,-1.03019,-1.90767,-1.59556,-1.46804,-1.17548,-2.29428,-1.34823,-1.13372,-1.04134,-1.1365,-1.20959,-1.12219,-1.55979,-1.01609,-1.93146,-1.47035,0.6751,0.249049,0.961657,-1.04905,1.57459,-0.172532,-1.36279,-0.0514548,-0.331405,-0.0175681,0.61685,-1.38423,0.562121,-0.0818991,-0.0659143,0.158896,0.929889,-0.910205,0.255769,-1.48739,0.368798,0.201215,0.182311,-0.283314,0.794613,-2.12922,0.380366,1.96382,0.203053,-0.661658,0.013771,-1.3866,-0.370189,0.88963,-0.36608,0.187412,0.510145,-0.720433,0.695647,-0.348377,0.378657,-0.154288,-0.368308,-1.17347,0.203178,-0.684657,0.453196,-2.27266,-0.976372,-0.812676,-1.03829,0.862727,-0.495514,-0.648627,-0.0877007,-0.772544,-0.89261,-0.35967,-1.21834,-0.206891,0.604753,0.791777,0.151551,-0.4458,1.24564,-0.0460555,0.0409143,0.000351641,0.517962,-0.24939,0.0323941,1.05717,0.538323,0.915584,0.743974,0.598641,1.3949,0.308277,0.827033,-0.319381,-1.09237,-0.98197,0.854054,0.0436296,-0.132244,-1.0628,0.638431,0.568266,1.34851,0.554636,0.24915,-0.207742,2.1181,0.0398286,-0.192726,-1.58632,0.606847,1.25439,0.503616,0.752341,-0.883133,-0.180942,-1.24568,-0.512441,0.116324,-0.608421,0.32666,-0.111305,0.0109106,-0.915789,-1.08365,0.935198,-0.722401,-1.00106,1.46554,-0.297083,-0.616894,0.0792363,0.158381,-1.34992,-5.69797,0.109883,0.0657666
-429.869,0.966337,0.202126,5,31,0,504.876,-0.0644564,1.13847,0.561122,1.24365,1.05846,-0.286552,1.11981,0.613992,-1.49689,0.390076,0.78678,0.511747,1.3979,-1.55449,0.0692205,-0.0707735,-0.0773765,0.70094,0.886574,-1.51452,0.269335,-1.44953,0.269324,0.20253,0.733518,-0.29709,0.404068,-2.60442,0.0823162,3.66825,-0.391546,-0.133866,-0.0290749,-1.47386,-0.0987817,0.849612,0.478783,0.200789,0.711148,-0.266324,0.525479,0.337832,0.550337,-0.716506,-0.71196,-1.34241,-0.712924,0.274737,0.762361,-2.34121,0.283808,-1.30274,-0.563461,1.20329,-0.711449,-0.643666,-0.879479,-0.0532441,-0.300794,0.754912,-0.723923,-0.150733,0.526598,1.10477,0.410483,-0.528988,1.42718,0.160728,0.244365,0.372868,0.997324,0.955626,-0.579072,0.830069,1.44713,1.45141,1.22782,1.34823,1.93777,-0.16658,1.61673,-0.655911,-0.478751,-0.844767,2.08785,0.0998241,-0.0139116,0.11083,0.422788,0.858237,2.09804,0.332499,0.466285,0.708992,2.73992,0.255554,-0.384811,-2.038,0.529454,1.90781,0.93703,0.869323,-0.281588,-0.134152,-0.858935,-0.817658,0.669828,-0.715756,0.286213,0.686393,-0.126298,-0.562715,-2.10836,0.133881,-0.593656,-1.21643,2.08578,-0.33372,-1.23364,-0.0016369,-0.5249,-1.48688,0.777606,0.294654,-0.518739,-0.53586,-1.10291,0.106497,0.857951,-1.05469,-1.03457,-1.29795,-1.32304,-1.21171,-1.59864,-1.13656,-1.5887,-1.75621,-1.0368,-1.92352,-1.55627,-1.90373,-1.44147,-1.01139,-1.75314,-1.44426,0.436332,0.967066,0.823062,-0.222825,0.870768,0.477444,-1.16399,0.303325,0.611805,0.397937,1.08702,-1.20878,0.0538263,-0.0550339,-0.0601685,0.545055,0.689406,-1.1777,0.209437,-1.12716,0.209428,0.157488,0.570389,-0.231019,0.314206,-2.02521,0.0640096,2.85246,-0.304469,-0.104095,-0.0226088,-1.14608,-0.0768132,0.660664,0.372305,0.156135,0.552993,-0.207095,0.408616,0.262701,0.427946,-0.557159,-0.553624,-1.04386,-0.554374,0.213637,0.592816,-1.82054,0.220691,-1.01302,-0.438151,0.935684,-0.553227,-0.500518,-0.683889,-0.041403,-0.233899,0.587024,-0.562927,-0.117211,0.409486,0.859079,0.319194,-0.411344,1.10979,0.124983,0.19002,0.289945,0.775526,0.743101,-0.45029,0.645467,1.1253,1.12863,0.954757,1.04839,1.50683,-0.129534,1.25718,-0.51004,-0.37228,-0.656896,1.62352,0.0776238,-0.0108178,0.0861819,0.328763,0.667371,1.63145,0.258553,0.362586,0.551316,2.13058,0.19872,-0.299231,-1.58476,0.411706,1.48352,0.728641,0.675991,-0.218964,-0.104317,-0.667914,-0.635816,0.520862,-0.556576,0.222561,0.533743,-0.0982103,-0.43757,-1.63947,0.104107,-0.461631,-0.945907,1.62192,-0.259503,-0.959287,-0.00127286,-0.408165,-1.15621,-5.64409,-0.0644564,0.106497
-449.906,0.735041,0.202126,5,31,0,527.373,-0.258372,1.92994,1.27999,0.216594,0.187743,-1.30247,2.10906,1.53726,-1.41579,1.05088,2.06998,-0.173857,-1.08282,-0.423813,1.17678,0.288488,0.545466,0.112718,0.317925,-1.77411,-1.23821,-1.69011,0.568849,0.154709,1.25355,0.930167,1.30136,-1.87888,-0.156355,3.27654,-2.90211,-0.167753,-0.474623,-1.03625,-0.0945445,2.07492,1.73693,-1.72192,0.882295,-0.784555,1.78154,0.326076,0.799314,-0.973406,-0.649833,-1.37276,0.0719441,-1.11101,1.35386,-0.852717,-0.878306,-1.76449,-0.346963,0.447946,-1.23116,-1.14096,0.973942,-0.131406,-0.182233,0.00680896,-0.230704,-0.858739,0.847743,0.547011,-1.82374,-1.0311,-0.590187,0.494916,1.67456,0.420714,0.376385,0.911022,0.708658,0.0829478,-1.86849,1.72928,0.406339,0.852399,1.80282,1.18175,0.561828,1.699,-1.86068,0.982441,2.31597,0.30741,-0.0644232,-2.18536,0.321358,0.365985,2.02121,-0.126702,-0.76264,-0.25681,1.32856,1.33672,-0.784259,-0.382341,1.02089,0.674633,0.688949,1.38475,0.461298,0.284092,-0.761402,-0.24844,-0.451905,-0.298165,-0.662432,1.55124,-0.702245,0.863181,-1.99499,0.108192,-0.821333,-0.0459437,1.21379,-0.601164,-0.388227,-0.810109,0.92971,-1.06586,0.583377,0.870541,-0.528754,-0.177196,-1.13083,0.121652,0.954923,-1.40135,-1.03219,-1.21387,-1.91627,-1.63535,-1.34492,-1.11393,-1.10649,-1.98743,-1.06765,-1.2868,-2.10043,-2.69308,-1.72845,-1.01259,-1.59996,-1.8075,0.746717,0.126356,0.109525,-0.759835,1.23038,0.896801,-0.825937,0.613058,1.20758,-0.101424,-0.631694,-0.247243,0.686504,0.168298,0.318213,0.0657572,0.18547,-1.03497,-0.722345,-0.985972,0.331854,0.0902535,0.731294,0.542639,0.759184,-1.09609,-0.091214,1.91146,-1.69303,-0.0978633,-0.276884,-0.604526,-0.0551551,1.21046,1.01329,-1.00453,0.514711,-0.457691,1.03931,0.190225,0.466302,-0.567863,-0.379098,-0.800837,0.0419706,-0.648136,0.789809,-0.497456,-0.512384,-1.02936,-0.20241,0.261322,-0.718229,-0.665612,0.568176,-0.0766593,-0.106311,0.00397219,-0.134587,-0.500969,0.494554,0.319114,-1.06393,-0.601518,-0.344302,0.288723,0.9769,0.245435,0.219575,0.531469,0.413415,0.0483899,-1.09003,1.00882,0.237049,0.49727,1.05173,0.689407,0.327758,0.991156,-1.08548,0.573134,1.35108,0.179336,-0.037583,-1.27489,0.187473,0.213507,1.17913,-0.073915,-0.444907,-0.149817,0.775053,0.779814,-0.457519,-0.223049,0.595564,0.393566,0.401917,0.807829,0.269111,0.165733,-0.444185,-0.144934,-0.263631,-0.173942,-0.386448,0.904958,-0.409674,0.50356,-1.16383,0.063117,-0.479147,-0.0268025,0.7081,-0.350705,-0.226483,-0.472599,0.542372,-0.621797,-5.58415,-0.258372,0.121652
-435.621,0.989759,0.202126,4,31,0,520.966,-0.287818,1.21272,1.48583,0.115124,-0.321911,-1.20532,2.38773,0.414637,-0.198062,0.762418,1.46776,-0.820852,-0.857644,1.34317,1.10134,1.21754,1.07324,0.61762,1.77915,-1.60953,0.660831,-0.275229,0.648928,-0.49,1.16691,0.451623,0.520236,-1.35945,0.525903,1.74776,-1.03972,1.18551,-0.705837,-1.34274,-1.03057,1.07993,0.7349,-1.67688,0.365773,-0.673974,0.860611,-0.0667729,0.522579,-1.33018,0.54918,-0.459326,0.175839,-0.755731,1.2633,-0.472288,-0.404499,-0.644417,-0.96447,0.619441,-2.1039,-0.66285,0.227545,-0.158105,-1.66197,-0.717803,0.449302,-1.21805,2.1482,-0.0991745,-0.823325,-0.270744,-0.761562,-0.133869,1.22684,0.681224,1.3392,0.978339,0.448416,0.0608455,-1.78783,0.732421,0.413078,1.44041,0.94174,-0.295867,-0.860466,1.12177,-1.51201,1.16495,1.75741,0.308341,0.238287,-2.83936,1.03948,0.847157,1.62221,0.244808,-0.907548,0.057134,0.706607,1.99352,0.740701,0.536858,1.35716,1.03938,-0.00541706,1.07312,0.0496849,0.343318,-2.37493,-0.628226,0.764533,-0.473364,-0.445771,2.34289,-0.525485,1.88364,-1.17841,-0.0536245,-1.26913,-0.222982,1.13118,-1.27601,-1.18307,-0.989664,1.23845,-0.690926,0.829755,0.921122,-0.766361,0.0712333,-0.68537,0.174741,0.9574,-1.25284,-1.09753,-1.16126,-2.32083,-1.59514,-1.22033,-1.26605,-1.04273,-1.96507,-1.06925,-1.38327,-1.51878,-1.22768,-1.58023,-1.02441,-2.52951,-1.50521,1.23287,0.0955245,-0.267107,-1.00012,1.98123,0.344047,-0.164343,0.63262,1.21788,-0.681106,-0.711634,1.1145,0.913846,1.01026,0.890528,0.512473,1.47626,-1.33551,0.548328,-0.228373,0.538451,-0.40658,0.968249,0.374736,0.431669,-1.12801,0.436371,1.45021,-0.862715,0.983686,-0.585671,-1.11414,-0.855124,0.896078,0.609787,-1.3914,0.303502,-0.559234,0.714096,-0.0554051,0.433612,-1.10373,0.455685,-0.381128,0.145903,-0.627071,1.04823,-0.391883,-0.335635,-0.534708,-0.800274,0.513984,-1.74572,-0.550003,0.188807,-0.131189,-1.37903,-0.595601,0.37281,-1.01068,1.78248,-0.0822905,-0.683158,-0.224651,-0.631909,-0.111078,1.01798,0.565249,1.1112,0.811781,0.372075,0.0504868,-1.48346,0.60773,0.342753,1.19519,0.781413,-0.245497,-0.713976,0.930798,-1.25459,0.966619,1.45822,0.255847,0.19772,-2.35597,0.862514,0.702933,1.34604,0.203131,-0.753043,0.0474072,0.586311,1.65413,0.6146,0.445461,1.12611,0.862433,-0.00449483,0.890427,0.0412263,0.28487,-1.97061,-0.521274,0.634375,-0.392776,-0.369881,1.94402,-0.436024,1.56296,-0.977795,-0.0444952,-1.05307,-0.185021,0.938604,-1.05877,-0.981655,-0.821179,1.02761,-0.573299,-5.78099,-0.287818,0.174741
-421.667,0.849246,0.202126,4,15,0,508.44,-0.0054145,1.30889,-0.154666,0.411423,0.252967,0.775994,0.269189,-0.0863138,1.77124,-0.938701,-1.45662,0.986867,0.674118,-1.09711,-0.249905,0.680762,-0.758013,-0.815503,0.22622,0.992154,0.199773,0.932345,-0.727397,-1.8992,-2.34718,-0.554857,0.644729,0.72381,0.984453,-1.96415,-0.0193556,-0.779187,0.209627,3.00161,-0.172473,0.541418,0.659281,1.23838,0.954947,1.13827,-0.255052,1.06121,-0.396932,-0.803344,0.251894,0.83227,0.271759,-0.0103991,0.168734,0.443031,-1.43035,0.954813,-0.836221,-0.311118,0.706265,-1.1314,0.0324997,-0.190442,0.875407,1.24491,-0.599209,0.548633,-0.284186,-0.605777,0.314135,1.61504,1.07095,0.370146,-0.361428,-0.664193,0.256957,0.655203,0.192864,0.488834,0.589542,-0.512836,1.76362,-0.547062,0.976066,1.09198,0.0101052,0.397024,0.924345,-1.88922,-1.5327,0.646214,0.0461848,0.351385,-1.54222,1.27,-0.368954,-0.35467,1.79213,0.386667,1.01526,0.613916,-1.26688,0.159664,-0.452544,0.867163,-1.70462,0.950512,-0.366646,-1.3146,0.916355,-1.50108,-0.17777,1.75092,0.614529,0.627906,-0.550661,-1.24974,0.470622,-1.29762,0.350136,-0.345901,-1.40997,0.208027,-2.1882,-0.697239,0.524522,0.598588,1.28613,0.829886,-0.489847,-0.557605,0.448835,-0.0322722,1.00571,-1.02434,-2.14882,-2.39876,-1.14169,-1.06951,-1.07929,-2.08728,-1.37012,-1.2647,-1.17877,-1.06106,-1.42928,-1.31613,-1.66414,-3.21947,-1.00545,-1.69039,-0.198921,0.529143,0.325349,0.998028,0.346211,-0.111011,2.27804,-1.20729,-1.8734,1.26924,0.867003,-1.41102,-0.32141,0.875548,-0.974902,-1.04884,0.290948,1.27604,0.256934,1.19912,-0.935527,-2.44262,-3.01878,-0.713618,0.829205,0.930914,1.26613,-2.52616,-0.0248938,-1.00213,0.269608,3.86045,-0.221822,0.696334,0.847921,1.59271,1.22819,1.46397,-0.32803,1.36485,-0.510506,-1.0332,0.323969,1.07041,0.349518,-0.0133745,0.217014,0.569795,-1.83962,1.22801,-1.07549,-0.400138,0.908348,-1.45512,0.0417988,-0.244933,1.12589,1.60111,-0.770661,0.705613,-0.3655,-0.779108,0.404018,2.07715,1.37738,0.476055,-0.464843,-0.854237,0.330479,0.842676,0.248048,0.628704,0.758227,-0.659574,2.26824,-0.703592,1.25535,1.40443,0.0129965,0.510624,1.18883,-2.42978,-1.97125,0.831115,0.0593996,0.451927,-1.98349,1.63339,-0.474522,-0.456152,2.30492,0.497304,1.30575,0.789576,-1.62938,0.205348,-0.58203,1.11528,-2.19237,1.22248,-0.471554,-1.69074,1.17855,-1.93058,-0.228635,2.25191,0.790363,0.807568,-0.708222,-1.60732,0.605281,-1.6689,0.45032,-0.444873,-1.8134,0.26755,-2.81431,-0.89674,0.674603,0.769862,-6.23163,-0.0054145,-0.0322722
-419.804,0.902332,0.202126,4,15,0,503.678,0.25559,1.55352,0.358626,0.607009,-0.332653,0.581091,-0.102022,-0.527887,1.92108,-0.981069,-1.07445,-0.119054,1.35978,-1.41572,-0.151064,0.916981,-0.690881,-0.15678,0.25935,1.38713,0.676878,0.817001,0.0439006,-1.0503,-2.32504,-0.212409,0.872897,0.421397,1.68902,-1.4017,-0.300555,-0.460729,0.473992,2.0335,-0.0662274,0.303248,1.11132,1.28756,0.25376,0.730467,-0.277016,1.12609,-0.276719,-0.144173,0.296796,1.25512,0.216082,-0.235299,-0.271441,0.563932,-1.01894,0.776087,-0.652637,-1.03817,1.07636,-0.864141,-0.164667,-0.577257,0.447816,0.717822,-0.659895,-0.0878602,-0.333754,-0.491287,0.349153,1.69249,1.02934,-0.00594212,-0.824934,-0.906943,0.0412752,0.689052,-0.261762,-0.0916457,0.822826,-0.46429,1.46957,-0.815881,1.1234,0.890666,0.359346,0.15871,0.700213,-1.86775,-1.42383,0.657106,0.0929487,0.815186,-1.82795,0.891953,0.249535,-0.479284,1.29032,0.413669,1.34717,1.08922,-0.883046,0.431937,-0.0622437,0.891767,-1.53661,1.44792,-0.440275,-1.40016,0.774792,-1.38118,-0.552036,2.52633,0.551801,0.589695,-1.27651,-0.983088,0.402941,-0.778571,0.19589,-0.706618,-1.40342,-0.655462,-1.9423,-0.802403,0.965647,1.07976,1.57666,0.814567,0.00364162,-0.525827,0.432023,-0.0275782,1.02032,-1.10985,-3.60299,-1.74091,-1.10807,-1.0963,-1.08864,-2.13076,-1.19918,-1.34792,-1.13206,-1.03682,-1.52997,-1.35687,-1.83117,-1.95322,-1.00838,-1.75718,0.565433,0.957048,-0.524482,0.916185,-0.160854,-0.8323,3.02889,-1.54682,-1.69404,-0.187708,2.14391,-2.23211,-0.238178,1.44577,-1.08929,-0.24719,0.408908,2.18704,1.06721,1.28814,0.0692165,-1.65597,-3.6658,-0.334897,1.37626,0.664401,2.66302,-2.21001,-0.473874,-0.726414,0.747326,3.20614,-0.104418,0.47812,1.75218,2.03005,0.400094,1.1517,-0.43676,1.77547,-0.436293,-0.227312,0.467947,1.9789,0.340688,-0.370988,-0.427972,0.889131,-1.60653,1.22363,-1.02899,-1.63685,1.69706,-1.36246,-0.259625,-0.910139,0.706055,1.13176,-1.04043,-0.138526,-0.526218,-0.774594,0.550497,2.66848,1.62292,-0.00936872,-1.30064,-1.42994,0.0650771,1.0864,-0.41271,-0.144494,1.29732,-0.732028,2.31702,-1.28637,1.77122,1.40428,0.566567,0.250232,1.104,-2.94481,-2.24491,1.03604,0.146549,1.28527,-2.88206,1.40631,0.393432,-0.75567,2.03439,0.652217,2.12403,1.71733,-1.39227,0.681019,-0.0981373,1.40602,-2.42272,2.28288,-0.694165,-2.20759,1.22159,-2.17765,-0.870375,3.98317,0.870003,0.92975,-2.01262,-1.55,0.635302,-1.22754,0.308852,-1.1141,-2.21273,-1.03344,-3.06235,-1.26512,1.5225,1.70242,-6.65238,0.25559,-0.0275782
