lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,ar.1,sigma,nu,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0448493
# Diagonal elements of inverse mass matrix:
# 0.00319644, 12.451, 1.03256, 0.360273, 0.187028, 0.147612, 0.345215, 0.514493, 0.798403, 0.727563, 0.140468, 0.0819042, 0.159118, 0.323224, 0.264165, 0.511924, 0.441222, 0.807933, 0.658663, 0.251041, 0.2528, 0.0154136, 0.227859
-188.642,0.904364,0.0448493,7,127,0,204.857,-0.111938,-9.57445,-0.397184,-0.549753,-1.42711,-0.43393,0.443409,-2.37815,1.25787,0.0942675,2.68951,-0.0916166,0.182558,0.225945,-0.281065,0.43583,0.54226,0.217863,0.490177,0.569651,0.33557,0.473323,6.18911,-1.06823,-1.47856,-3.83822,-1.16706,1.19255,-6.39606,3.38306,0.253533,-0.0521895,0.103994,0.12871,-0.160109,0.248271,0.308899,0.124106,0.27923,-9.69731,-0.111938
-196.58,0.977437,0.0448493,7,127,0,205.608,-0.272324,-10.7371,-1.27855,-1.35428,-1.25957,-0.818314,0.413218,-1.5312,-0.764054,0.0418357,3.19646,-0.60902,0.999298,1.30628,-1.37977,-0.116858,1.12758,0.388803,-0.0706875,0.103423,0.290288,0.376863,1.79261,-4.08682,-4.32891,-4.02617,-2.61571,1.32083,-4.89443,-2.44227,0.133726,-0.0629867,0.10335,0.135099,-0.1427,-0.0120858,0.116617,0.0402112,-0.00731071,-10.6721,-0.272324
-201.155,1,0.0448493,6,63,0,209.315,-0.0102128,-12.9976,1.4755,-1.27174,-1.56315,-0.891026,-0.40982,-2.19562,-0.64055,-0.836438,2.25001,-0.887294,1.65996,2.18479,-1.40293,0.0348595,-0.245626,0.449104,-0.369608,0.0657237,0.336911,0.273916,2.02139,3.31988,-2.86142,-3.51711,-2.00482,-0.9221,-4.94018,-1.44124,-1.882,-0.0583162,0.109099,0.143592,-0.0922059,0.0022911,-0.0161435,0.0295168,-0.024292,-10.1784,-0.0102128
-195.788,0.995399,0.0448493,6,63,0,208.474,-0.0780949,-11.0073,1.95702,-1.22606,-1.40508,-0.93064,-0.0445889,-2.14162,0.628734,0.425372,2.52699,-0.878138,1.39083,2.12774,-0.577067,0.511848,0.261397,1.31304,0.653486,0.0636642,0.32996,0.353471,1.60467,4.94537,-3.09825,-3.55062,-2.35172,-0.112676,-5.41186,1.58881,1.07491,-0.0559059,0.0885458,0.135461,-0.0367385,0.0325864,0.0166416,0.0835935,0.0416036,-10.4788,-0.0780949
-192.625,0.948495,0.0448493,6,63,0,205.53,-0.161562,-8.41485,-0.645967,-1.00884,-0.799872,-0.776842,0.449768,-1.66717,-1.09676,-0.427699,3.61202,-0.591711,1.56412,2.54764,-0.624075,0.294899,-0.604233,-0.64657,-0.0750531,0.0533947,0.28645,0.270551,1.82703,-2.33325,-3.64395,-2.88916,-2.80597,1.62457,-6.02184,-3.96151,-1.54486,-0.0315943,0.0835157,0.136031,-0.0333223,0.0157461,-0.0322629,-0.0345234,-0.00400744,-10.8344,-0.161562
-191.355,0.983657,0.0448493,7,127,0,204.297,-0.160615,-10.7223,2.16739,-0.974258,-0.64357,-0.668082,0.856113,-0.284164,-0.246531,0.227735,5.18951,-0.150086,0.842585,0.470739,-1.35221,-0.250692,2.10832,0.327693,-0.805064,0.120626,0.265273,0.366198,1.85382,11.2477,-5.05592,-3.33981,-3.46702,4.44281,-1.47467,-1.27937,1.18183,-0.0181043,0.101638,0.0567835,-0.163112,-0.03024,0.254318,0.0395284,-0.0971117,-11.5548,-0.160615
-186.732,0.957185,0.0448493,6,63,0,199.133,-0.150924,-10.2391,1.08488,-0.80542,-0.583205,-0.660056,0.412593,-1.29047,-0.288282,-0.135208,6.01799,-0.322145,0.803175,1.89509,-1.46027,0.487483,2.20467,-0.51046,0.022872,0.121109,0.221674,0.309982,2.69865,6.5288,-4.84701,-3.50972,-3.97221,2.48298,-7.76606,-1.73488,-0.813681,-0.0390149,0.0972721,0.229513,-0.176853,0.0590389,0.267006,-0.0618216,0.00277002,-11.63,-0.150924
-187.413,0.995719,0.0448493,6,63,0,198.071,-0.124636,-12.4323,0.254328,0.493346,-0.538549,-0.26548,-0.0789057,-1.86612,-1.10213,2.18262,6.61548,-0.0830447,0.235147,0.538301,-0.55646,0.481857,0.459814,0.586448,-0.803309,0.405174,0.27509,0.334661,1.72686,1.6825,3.26372,-3.56276,-1.75628,-0.521999,-12.3453,-7.2911,14.4391,-0.0336476,0.0952755,0.218105,-0.225463,0.195236,0.186305,0.237614,-0.32548,-12.2545,-0.124636
-183.289,0.998986,0.0448493,6,63,0,195.438,-0.0912918,-13.773,0.795958,-0.142546,-0.722227,-0.300674,0.406587,-1.19067,-1.46958,1.55469,5.78127,-0.180741,0.365123,0.663671,-0.219161,-0.19311,1.25616,0.122385,-0.448392,0.245222,0.306138,0.333952,2.60093,4.60165,-0.824095,-4.17539,-1.73828,2.35059,-6.88357,-8.49604,8.9881,-0.0443217,0.0895362,0.162747,-0.0537431,-0.0473548,0.308038,0.0300116,-0.109956,-11.5603,-0.0912918
-186.167,0.992623,0.0448493,6,127,0,194.813,-0.147774,1.85464,-0.551403,-1.1671,-0.296084,-0.796698,1.12844,-1.59563,1.14946,0.359234,4.50513,-0.244281,0.483854,1.16333,-0.720908,0.871943,1.86362,1.16841,-0.983531,0.158815,0.194096,0.354547,2.22033,-2.48414,-5.25793,-1.3339,-3.58922,5.08375,-7.1885,5.17845,1.6184,-0.0387956,0.0768434,0.184755,-0.114491,0.138478,0.29597,0.185561,-0.1562,-11.0976,-0.147774
