# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_004775db0565465c30b91127bf1a0445_model
# start_datetime = 2024-02-07 14:47:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpehMe5f/standata-9b73788d63f.json
# init = 2 (Default)
# random
#   seed = 2356
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpehMe5f/model_004775db0565465c30b91127bf1a0445-202402071047-2-8ee7ee.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpehMe5f/model_004775db0565465c30b91127bf1a0445-profile-202402071047-2-5d989f.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = --name=model_004775db0565465c30b91127bf1a0445_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept_y,bsp_y.1,zerr_y.1,zerr_y.2,zerr_y.3,zerr_y.4,zerr_y.5,zerr_y.6,zerr_y.7,zerr_y.8,zerr_y.9,zerr_y.10,zerr_y.11,zerr_y.12,zerr_y.13,zerr_y.14,zerr_y.15,zerr_y.16,zerr_y.17,zerr_y.18,zerr_y.19,zerr_y.20,zerr_y.21,zerr_y.22,zerr_y.23,zerr_y.24,zerr_y.25,zerr_y.26,zerr_y.27,zerr_y.28,zerr_y.29,zerr_y.30,zerr_y.31,zerr_y.32,zerr_y.33,zerr_y.34,zerr_y.35,zerr_y.36,zerr_y.37,zerr_y.38,zerr_y.39,zerr_y.40,zerr_y.41,zerr_y.42,zerr_y.43,zerr_y.44,zerr_y.45,zerr_y.46,zerr_y.47,zerr_y.48,zerr_y.49,zerr_y.50,zerr_y.51,zerr_y.52,zerr_y.53,zerr_y.54,zerr_y.55,zerr_y.56,zerr_y.57,zerr_y.58,zerr_y.59,zerr_y.60,zerr_y.61,zerr_y.62,zerr_y.63,zerr_y.64,zerr_y.65,zerr_y.66,zerr_y.67,zerr_y.68,zerr_y.69,zerr_y.70,zerr_y.71,zerr_y.72,zerr_y.73,zerr_y.74,zerr_y.75,zerr_y.76,zerr_y.77,zerr_y.78,zerr_y.79,zerr_y.80,zerr_y.81,zerr_y.82,zerr_y.83,zerr_y.84,zerr_y.85,zerr_y.86,zerr_y.87,zerr_y.88,zerr_y.89,zerr_y.90,zerr_y.91,zerr_y.92,zerr_y.93,zerr_y.94,zerr_y.95,zerr_y.96,zerr_y.97,zerr_y.98,zerr_y.99,zerr_y.100,zerr_y.101,zerr_y.102,zerr_y.103,zerr_y.104,zerr_y.105,zerr_y.106,zerr_y.107,zerr_y.108,zerr_y.109,zerr_y.110,zerr_y.111,zerr_y.112,zerr_y.113,zerr_y.114,zerr_y.115,zerr_y.116,zerr_y.117,zerr_y.118,zerr_y.119,zerr_y.120,sderr_y,ar_y.1,Ymi_x.1,Ymi_x.2,Ymi_x.3,Intercept_x,sigma_x,Ycens_x.1,Ycens_x.2,Ycens_x.3,Ycens_x.4,Ycens_x.5,Ycens_x.6,Ycens_x.7,Ycens_x.8,Ycens_x.9,Ycens_x.10,Ycens_x.11,Ycens_x.12,Ycens_x.13,Ycens_x.14,Ycens_x.15,Ycens_x.16,Ycens_x.17,err_y.1,err_y.2,err_y.3,err_y.4,err_y.5,err_y.6,err_y.7,err_y.8,err_y.9,err_y.10,err_y.11,err_y.12,err_y.13,err_y.14,err_y.15,err_y.16,err_y.17,err_y.18,err_y.19,err_y.20,err_y.21,err_y.22,err_y.23,err_y.24,err_y.25,err_y.26,err_y.27,err_y.28,err_y.29,err_y.30,err_y.31,err_y.32,err_y.33,err_y.34,err_y.35,err_y.36,err_y.37,err_y.38,err_y.39,err_y.40,err_y.41,err_y.42,err_y.43,err_y.44,err_y.45,err_y.46,err_y.47,err_y.48,err_y.49,err_y.50,err_y.51,err_y.52,err_y.53,err_y.54,err_y.55,err_y.56,err_y.57,err_y.58,err_y.59,err_y.60,err_y.61,err_y.62,err_y.63,err_y.64,err_y.65,err_y.66,err_y.67,err_y.68,err_y.69,err_y.70,err_y.71,err_y.72,err_y.73,err_y.74,err_y.75,err_y.76,err_y.77,err_y.78,err_y.79,err_y.80,err_y.81,err_y.82,err_y.83,err_y.84,err_y.85,err_y.86,err_y.87,err_y.88,err_y.89,err_y.90,err_y.91,err_y.92,err_y.93,err_y.94,err_y.95,err_y.96,err_y.97,err_y.98,err_y.99,err_y.100,err_y.101,err_y.102,err_y.103,err_y.104,err_y.105,err_y.106,err_y.107,err_y.108,err_y.109,err_y.110,err_y.111,err_y.112,err_y.113,err_y.114,err_y.115,err_y.116,err_y.117,err_y.118,err_y.119,err_y.120,lprior,b_y_Intercept,b_x_Intercept
# Adaptation terminated
# Step size = 0.144085
# Diagonal elements of inverse mass matrix:
# 0.11774, 0.255034, 0.719692, 0.837401, 0.988769, 0.72493, 0.708157, 0.889776, 0.897092, 0.829908, 0.789918, 0.7664, 0.787022, 0.662378, 0.938415, 0.965068, 0.776819, 0.73166, 0.835853, 0.791426, 0.959697, 1.07143, 0.840244, 0.972246, 0.82928, 0.906735, 0.951762, 0.765185, 0.707856, 0.679525, 0.855307, 0.943523, 0.870032, 0.784136, 0.8, 0.808388, 0.767222, 0.825017, 0.910766, 0.703686, 0.753581, 0.777594, 0.844512, 0.832638, 0.825745, 0.738995, 0.640698, 0.844632, 0.7856, 0.808094, 0.786337, 0.680338, 0.820325, 0.769679, 0.776408, 0.738277, 0.836185, 0.91123, 0.648964, 0.947586, 0.833747, 0.735585, 0.958928, 0.671604, 0.90643, 0.8325, 0.876588, 0.859578, 0.814956, 0.822988, 0.778708, 0.829807, 0.92389, 0.720433, 0.791187, 0.810127, 0.85758, 0.854256, 0.818846, 0.813094, 0.989336, 0.856381, 0.624086, 0.95008, 0.759414, 0.820639, 0.931267, 0.86258, 0.87909, 0.789467, 0.688652, 0.745808, 0.699901, 0.825652, 1.10626, 0.800743, 0.809292, 0.715511, 0.770464, 0.876751, 0.815104, 0.935808, 0.757862, 0.834549, 0.838283, 0.884475, 0.837248, 0.766148, 0.860091, 0.737355, 0.89413, 0.702825, 0.862202, 0.946551, 0.862117, 0.88106, 0.780797, 0.838368, 0.745399, 0.764525, 0.801104, 0.761926, 1.20446, 2.09313, 0.884554, 0.833482, 0.83487, 0.00662438, 0.00474034, 1.36223, 1.55453, 1.63346, 1.49397, 1.0685, 1.40742, 1.4872, 1.62902, 1.12643, 1.49707, 1.12387, 1.53047, 1.38435, 1.45996, 1.38809, 1.41406, 1.77785
-413.37,0.992637,0.144085,5,31,0,504.967,-0.144586,1.19988,0.408352,-0.493667,-0.43816,-1.62133,-0.474013,-1.6867,-0.603826,-0.173391,-0.741442,1.39972,0.0853213,-1.51937,0.0349124,0.287543,1.12047,0.119341,1.41829,1.43197,-0.231768,-1.03521,-0.488527,-0.146011,-0.573024,-0.348554,0.244136,-0.0670698,0.0433901,1.24938,-1.20806,-0.12516,-0.0422318,0.66301,-0.726797,0.72784,-0.587221,0.605607,0.17365,-0.707742,-0.0213664,1.60474,-1.50592,0.536142,-0.799761,0.578311,-0.301146,-1.4639,0.462675,-1.06422,1.5261,-2.00342,-0.181964,0.407568,-0.147592,-1.9698,-0.0952297,0.917514,1.32253,-1.90116,-1.02586,0.729965,-1.03145,1.88515,-0.885152,2.14007,-0.107568,-0.485943,1.17235,-0.413034,0.984701,0.145422,0.00965638,-0.4678,0.634494,-0.363618,-0.013386,0.74567,-0.301174,-0.268889,2.25365,0.840636,0.269396,-0.512607,-0.216413,0.400089,-0.0580675,-1.66633,-1.43157,1.3282,0.405466,1.19698,1.0188,0.0111389,2.12272,0.705017,0.117202,0.285214,-0.514049,-1.161,-0.169819,0.537856,-1.55942,-0.952156,-0.0130445,0.198538,-1.71393,1.08669,1.6908,0.207921,-0.0221876,-0.99022,-0.452852,-0.731805,0.75,-1.28852,-0.0329402,-1.87576,0.589484,-0.202045,0.85099,-1.08974,0.833602,0.927377,-0.525508,0.845529,-0.334298,0.0810768,1.01746,-1.46866,-1.43095,-1.92274,-1.2658,-1.91694,-2.18523,-1.16228,-1.14176,-1.44456,-1.03544,-1.30234,-1.23224,-1.53019,-1.41474,-1.85066,-1.86307,-1.49319,0.340403,-0.411522,-0.365251,-1.35154,-0.395138,-1.40604,-0.503351,-0.144539,-0.618068,1.16681,0.071124,-1.26655,0.029103,0.239696,0.934025,0.0994828,1.18229,1.19369,-0.193203,-0.862953,-0.407237,-0.121715,-0.477674,-0.290556,0.203513,-0.0559096,0.0361701,1.04148,-1.00705,-0.104334,-0.0352045,0.552687,-0.605859,0.60673,-0.489509,0.504835,0.144755,-0.589976,-0.0178111,1.33771,-1.25534,0.44693,-0.666683,0.482081,-0.251036,-1.22031,0.385687,-0.887135,1.27216,-1.67006,-0.151686,0.33975,-0.123033,-1.64203,-0.0793837,0.764842,1.10246,-1.58481,-0.855156,0.608501,-0.85982,1.57147,-0.737865,1.78397,-0.0896693,-0.405084,0.977276,-0.344306,0.820849,0.121224,0.00804958,-0.389959,0.528916,-0.303113,-0.0111586,0.621592,-0.251059,-0.224147,1.87865,0.700756,0.224569,-0.427311,-0.180403,0.333515,-0.0484052,-1.38906,-1.19336,1.10719,0.337997,0.997805,0.849273,0.00928538,1.7695,0.587704,0.0976996,0.237755,-0.428513,-0.96781,-0.141562,0.448358,-1.29993,-0.79372,-0.0108739,0.165502,-1.42874,0.905866,1.40946,0.173323,-0.0184956,-0.82545,-0.377499,-0.610034,0.625202,-1.07411,-0.0274591,-1.56364,0.491395,-0.168425,0.709387,-0.908413,-5.79173,-0.144586,0.0810768
-438.962,0.941393,0.144085,5,31,0,502.925,0.00458899,1.64636,0.714479,3.01197,-1.95802,-0.761543,-1.1951,0.0272751,-1.28066,-1.12361,1.65278,1.10503,-0.680018,0.518476,1.56929,-1.66472,-0.0490908,-0.312728,1.71723,0.776787,-0.575629,-1.34443,0.57579,-0.0314593,-1.67977,0.398109,0.413104,0.109809,-0.741639,0.420264,1.31121,0.202914,-1.31476,2.67121,-0.692698,0.778917,1.03552,0.397597,-0.489473,1.25109,0.0510923,-0.610754,-0.5838,0.161937,1.4247,0.135188,0.341022,0.423714,0.0770184,0.426994,-0.15479,0.141881,0.334489,1.11289,1.55871,1.27021,-0.0293937,-0.18753,0.460478,-0.836875,-0.802578,-0.532786,-1.66019,2.24056,0.0489846,1.1767,0.807595,0.555646,0.819246,1.66021,-0.509461,-0.140434,-0.424164,-0.558279,0.530119,0.203741,0.584528,1.35906,1.51491,1.5163,-0.342046,-1.50855,-0.289126,-0.273957,-0.0925152,2.54395,-0.213914,-0.438434,1.09128,-0.221333,1.17897,0.659826,-0.976929,-1.24247,1.01232,-0.711889,1.29988,-1.42799,0.551372,1.42765,1.63879,0.0564769,1.03725,0.132666,-1.24027,-0.503395,-1.23446,-1.10638,0.596326,0.294521,-0.344686,-0.0949036,0.635943,-0.939134,-1.89861,-2.50613,-1.24438,0.720745,-1.59825,-1.07344,1.97336,-0.774423,0.801383,0.661799,0.465719,-1.25933,0.536569,0.362936,0.921099,-1.05361,-1.41924,-1.36021,-1.7342,-1.14358,-1.20536,-1.25124,-1.3702,-1.6001,-2.3044,-1.63555,-1.72947,-1.61539,-1.64008,-1.37686,-1.36865,-1.44584,0.572571,2.41374,-1.56912,-0.610288,-0.957734,0.0218578,-1.0263,-0.900441,1.32451,0.885551,-0.544955,0.415498,1.25761,-1.33408,-0.0393406,-0.250615,1.37616,0.622504,-0.461299,-1.0774,0.461429,-0.0252109,-1.34614,0.319037,0.331055,0.0879988,-0.594337,0.336792,1.05078,0.162612,-1.05363,2.14067,-0.555117,0.624211,0.829846,0.318627,-0.392255,1.0026,0.0409445,-0.489448,-0.467847,0.129773,1.14173,0.108337,0.273289,0.339557,0.0617212,0.342186,-0.124046,0.113701,0.268054,0.891853,1.24912,1.01792,-0.0235557,-0.150284,0.36902,-0.670658,-0.643173,-0.426966,-1.33045,1.79554,0.0392555,0.942984,0.647193,0.445285,0.65653,1.33046,-0.408274,-0.112542,-0.339918,-0.447396,0.424828,0.163275,0.468431,1.08913,1.21403,1.21514,-0.27411,-1.20892,-0.231701,-0.219545,-0.0741402,2.03868,-0.171427,-0.351354,0.874532,-0.177373,0.944807,0.528773,-0.782894,-0.995695,0.811255,-0.570496,1.0417,-1.14437,0.44186,1.14409,1.3133,0.0452596,0.831232,0.106317,-0.993929,-0.403412,-0.989278,-0.886631,0.477886,0.236024,-0.276226,-0.0760541,0.509634,-0.752606,-1.52151,-2.00837,-0.997229,0.577593,-1.28081,-0.860239,1.58142,-0.620609,-5.67328,0.00458899,0.362936
-429.211,1,0.144085,5,31,0,510.873,0.0636123,0.86398,-0.429099,0.491648,0.218086,1.64468,1.21491,-0.31558,0.282049,0.136756,-1.84448,0.0329043,0.0672152,0.626656,0.309771,-0.0799289,1.65407,-1.18544,0.0567062,0.528603,-1.60565,-1.00793,0.531505,-0.391095,-2.18803,2.23645,0.449367,-0.507988,-0.895317,0.991725,-0.537649,-0.626328,-0.707869,0.481332,-0.453423,-0.681028,0.741203,0.926357,1.6181,-1.13882,-0.561096,0.928999,0.413415,1.18321,1.4571,-0.404782,1.01114,-0.566927,0.797113,0.529523,-1.13635,-1.59093,-1.43461,0.15893,-1.75418,0.399027,-0.431884,-1.63614,-1.12351,-0.917684,-0.831413,-0.362253,-0.312918,-0.32151,-0.688556,1.17871,0.771336,0.95136,0.488338,0.184171,-0.398278,-0.957703,1.10483,-0.335688,1.26234,-0.307701,-0.705921,1.62147,0.201742,-0.586235,-0.770584,-0.670678,-0.88035,-2.18738,-0.135561,-0.924756,2.50326,-2.03578,1.16299,-1.1331,0.050967,0.63516,-0.692467,-0.282435,0.519936,-1.40347,2.13488,-1.70124,-0.232938,-0.344749,-0.632325,-1.29465,-0.479764,-0.345761,-0.490747,0.26458,1.77415,-0.33763,1.50607,0.590625,1.62105,-0.339487,-0.0844374,1.70989,-1.98903,0.0780553,1.3499,-0.379577,-1.04134,-0.608324,0.424084,0.188512,0.326953,0.46369,-1.05684,0.880282,-0.899499,0.0104708,1.00644,-1.6944,-1.77099,-1.74561,-1.35348,-1.104,-2.1584,-1.96131,-1.43774,-1.27141,-1.04124,-1.54772,-1.19563,-1.53311,-1.45966,-1.8889,-1.86262,-1.66302,-0.140296,0.160746,0.0713039,0.537734,0.397219,-0.10318,0.0922169,0.0447127,-0.603058,0.0107582,0.0219762,0.204887,0.101281,-0.026133,0.540804,-0.387583,0.0185403,0.172829,-0.524974,-0.329546,0.173777,-0.12787,-0.715384,0.731215,0.146922,-0.166088,-0.292727,0.324248,-0.175786,-0.20478,-0.23144,0.157373,-0.148248,-0.222664,0.242339,0.302876,0.529042,-0.372339,-0.183452,0.303739,0.135167,0.386856,0.476403,-0.132345,0.330597,-0.185359,0.260619,0.173129,-0.371534,-0.52016,-0.469051,0.0519628,-0.573535,0.130463,-0.141206,-0.534943,-0.367335,-0.30004,-0.271833,-0.11844,-0.10231,-0.105119,-0.225126,0.385384,0.252191,0.31105,0.159664,0.0602153,-0.130218,-0.313124,0.361229,-0.109754,0.412727,-0.100604,-0.230803,0.530145,0.0659601,-0.191672,-0.251945,-0.21928,-0.287833,-0.715171,-0.0443222,-0.302352,0.818448,-0.665605,0.380243,-0.370469,0.0166638,0.207668,-0.226404,-0.0923431,0.169995,-0.458871,0.698006,-0.556225,-0.0761599,-0.112717,-0.206741,-0.423289,-0.156861,-0.113048,-0.160451,0.0865053,0.580063,-0.110389,0.492414,0.193107,0.530009,-0.110997,-0.0276071,0.559055,-0.65032,0.0255204,0.441355,-0.124104,-0.34047,-0.198894,0.138656,0.0616348,-5.40383,0.0636123,0.0104708
-424.171,0.961646,0.144085,5,31,0,490.429,-0.173761,1.51666,-0.0287264,0.522369,-0.375603,-2.24357,-0.95071,1.37236,0.0974743,-0.726927,0.817081,-0.317848,0.251526,-1.17372,1.33491,0.676308,-0.805635,1.01813,0.814268,0.253136,1.66392,0.933593,-2.03348,-0.106791,1.4374,-1.89113,-0.610958,0.722282,0.857808,-0.269258,0.702607,0.57531,1.26053,0.083628,0.782541,1.88824,0.423064,-1.13316,-1.38763,1.55909,0.268134,-0.0186586,-0.833487,-1.71111,-1.68267,-0.15392,-0.356038,-0.577945,-0.84345,-2.06041,0.216228,0.882252,1.2045,-0.883462,0.343061,-1.08549,0.0972554,0.832059,0.361633,0.390363,0.289896,0.0824884,0.274998,0.816304,-0.202975,-1.19351,-0.489612,-0.417096,-0.0528519,0.511499,1.53647,1.97101,-0.734502,0.529899,-1.17496,0.752945,0.623258,-1.51604,-0.232972,0.629009,0.617739,0.571298,1.15018,0.733292,-0.100751,0.940113,-2.0591,1.33532,-1.23628,1.56527,0.703833,-0.449659,0.423112,0.694616,0.966929,2.1113,-1.55053,2.02332,0.297212,0.276914,0.731642,0.279136,1.3472,-0.77466,-0.53443,-0.613121,-1.55834,-0.0333105,-0.573223,-0.110521,-1.62644,-0.487145,-0.693498,-2.36606,0.334333,-0.983444,-1.40868,-1.53722,0.20536,0.046539,-0.0419805,0.815687,1.59751,0.733734,-0.439359,-2.18379,0.0979586,0.0995993,0.890492,-1.10106,-1.41235,-1.57998,-2.35526,-1.08526,-1.03492,-1.65228,-1.82567,-1.03223,-1.37453,-1.38961,-1.38779,-1.40812,-1.44532,-1.49565,-1.25514,-1.37532,-0.0458906,0.834488,-0.600027,-3.58411,-1.51877,2.19235,0.155716,-1.16127,1.30529,-0.507764,0.401814,-1.87502,2.13253,1.08041,-1.28701,1.62647,1.3008,0.404387,2.65812,1.49142,-3.24849,-0.1706,2.29626,-3.02109,-0.97601,1.15385,1.37035,-0.430141,1.12242,0.919061,2.01371,0.133596,1.25011,3.01648,0.675847,-1.81023,-2.21675,2.49066,0.428347,-0.0298073,-1.3315,-2.73351,-2.68807,-0.245888,-0.568773,-0.92327,-1.34742,-3.29151,0.345425,1.4094,1.9242,-1.41134,0.548042,-1.73408,0.155366,1.32922,0.577712,0.623607,0.463111,0.131776,0.439312,1.30405,-0.324254,-1.90663,-0.782158,-0.666314,-0.0844312,0.817122,2.45453,3.14869,-1.17337,0.846517,-1.87701,1.20283,0.995658,-2.42188,-0.372175,1.00485,0.986842,0.912652,1.83742,1.17144,-0.160951,1.50184,-3.28943,2.13319,-1.97496,2.50053,1.12438,-0.718333,0.675924,1.10965,1.54467,3.37282,-2.47699,3.23226,0.474797,0.442372,1.1688,0.445921,2.15217,-1.23752,-0.853755,-0.979464,-2.48946,-0.0532137,-0.915728,-0.176557,-2.59825,-0.778217,-1.10787,-3.7798,0.534099,-1.57106,-2.25037,-2.45571,0.328063,0.0743464,-0.0670642,1.30307,-6.6326,-0.173761,0.0995993
-417.996,1,0.144085,5,31,0,494.653,0.193288,1.20011,-0.960601,0.189406,0.299613,-0.647234,0.198553,-1.22868,0.131727,0.033881,-1.07182,-0.741186,0.340845,0.245375,-0.559205,0.735654,1.17148,0.794314,-0.559014,1.41294,0.688525,-0.159237,-0.411038,0.291552,0.0430193,0.370053,-0.775764,-0.12702,0.993238,-2.31775,-0.036706,0.73622,-0.344523,0.774081,-0.286286,0.675259,-0.0525885,0.119846,-1.0147,-0.472281,0.0697716,-0.396005,-1.1809,-1.01187,-0.8814,0.516414,0.80784,0.0764653,1.54148,0.154644,-0.227788,-0.272874,0.570886,0.824281,-1.24306,-0.0783586,0.0868528,0.265055,-0.265615,1.50039,-0.438037,-0.440375,-0.0194573,0.26823,1.34412,0.8012,1.08833,1.61928,-0.634972,1.36762,-0.0608031,0.140845,0.378378,0.696331,0.113458,-2.30581,0.522371,-0.739299,1.10329,-1.31698,0.817661,-0.223822,-0.0121742,-2.50032,0.0300514,-0.474873,-0.944659,0.808024,-0.096741,-0.853833,1.9484,-0.343913,0.389329,-0.925699,0.267401,0.362423,1.63489,0.644743,-1.39913,-0.824168,0.717806,-0.534419,-0.536236,-1.01882,-0.362585,-1.0863,-1.58411,1.84967,0.281183,0.909831,0.0343776,-0.68882,-1.16447,-0.842109,-0.546728,-0.139122,0.65151,-0.539255,-0.296534,1.4334,-0.308975,2.95949,0.749394,0.754911,-1.45257,0.784611,-1.94817,0.134718,0.959312,-1.53637,-1.0315,-1.24714,-1.07987,-1.14056,-1.00959,-1.39756,-1.1094,-2.12491,-1.36335,-1.73722,-1.46039,-1.18098,-1.5426,-1.3179,-1.48042,-1.44777,-0.719869,0.14194,0.224528,-0.485034,0.148794,-0.920767,0.0987158,0.0253902,-0.803213,-0.55544,0.255427,0.183882,-0.419065,0.551295,0.877903,0.595254,-0.418922,1.05885,0.515976,-0.119331,-0.30803,0.218487,0.0322384,0.277315,-0.581353,-0.0951883,0.744327,-1.73691,-0.0275073,0.551719,-0.258184,0.580092,-0.214541,0.506035,-0.0394095,0.0898118,-0.76041,-0.353925,0.0522864,-0.296764,-0.884962,-0.758292,-0.660516,0.386998,0.60539,0.0573026,1.15517,0.115889,-0.170703,-0.20449,0.427819,0.617711,-0.93154,-0.0587215,0.065087,0.198631,-0.19905,1.12438,-0.328262,-0.330014,-0.0145812,0.20101,1.00728,0.600414,0.815586,1.21348,-0.475845,1.02489,-0.0455655,0.105548,0.283554,0.521827,0.0850244,-1.72796,0.391462,-0.554026,0.826802,-0.986934,0.612751,-0.167731,-0.00912326,-1.87373,0.0225203,-0.355867,-0.707922,0.605528,-0.0724972,-0.639858,1.46012,-0.257726,0.291761,-0.693714,0.200389,0.271598,1.22518,0.483167,-1.0485,-0.617626,0.537919,-0.40049,-0.401852,-0.763501,-0.271719,-0.814069,-1.18712,1.38613,0.210717,0.681822,0.0257624,-0.516198,-0.872647,-0.631071,-0.409715,-0.104258,0.488238,-0.404114,-0.222221,1.07418,-0.231544,2.21783,-5.65643,0.193288,0.134718
-429.532,0.953758,0.144085,5,31,0,497.2,-0.319654,1.48834,0.169095,2.28582,-2.02641,-0.156623,-1.3096,0.377841,0.740398,1.16276,-0.429517,-1.582,0.391003,0.890731,-1.32429,-0.495369,0.414582,0.162289,0.916481,-0.663269,-0.403296,1.03038,0.769823,1.32498,-0.297769,-1.51083,-0.118842,-1.26285,0.586838,0.454373,2.24497,0.880738,0.720999,0.305881,0.351113,0.281791,-1.99152,-0.223117,1.45171,-0.086729,-0.255045,-0.125238,0.418478,0.0142978,1.06414,-0.487508,-1.40592,-1.20232,1.715,-1.08096,-0.231075,-1.03371,-0.186956,0.925292,0.816991,-0.94527,-0.583981,-1.23774,1.4548,-0.733256,-1.5742,0.244318,0.977937,0.431576,-1.3482,-0.654685,1.43088,-0.0237732,-0.341045,0.509238,0.460533,0.579189,1.40138,-0.280378,0.410623,0.136429,1.74556,1.14483,-0.316837,1.94518,-1.25182,1.23153,0.916425,-0.297226,0.372443,0.581798,-0.879265,-0.0667022,-1.99204,1.01859,2.01996,0.598096,1.09915,0.867321,1.56453,0.257537,1.56297,0.931523,-2.60205,-0.829822,0.749547,0.8059,0.337009,-1.74921,1.82245,0.200486,-0.349331,-1.38995,0.855224,-1.52145,-0.700664,-1.2257,-0.393327,-0.714494,-1.52233,-0.44365,0.623204,-0.631921,-2.2024,0.682686,-1.3751,0.696341,0.736481,0.450024,0.581552,-0.419207,-0.660614,-0.00520533,1.05874,-1.3525,-1.55639,-1.71979,-2.75091,-1.71554,-1.04479,-1.94282,-1.12864,-1.38721,-1.49845,-1.20932,-1.91635,-1.41272,-1.86579,-1.79611,-1.75478,-1.91671,0.124535,1.68347,-1.49241,-0.11535,-0.964497,0.278273,0.545288,0.856353,-0.316331,-1.16511,0.287966,0.656006,-0.975314,-0.36483,0.305332,0.119522,0.67497,-0.488485,-0.29702,0.758851,0.56696,0.975821,-0.219301,-1.1127,-0.0875248,-0.930061,0.432194,0.334637,1.65338,0.648646,0.531001,0.225275,0.258588,0.207534,-1.46671,-0.164321,1.06915,-0.0638742,-0.187836,-0.0922351,0.308201,0.0105301,0.783715,-0.35904,-1.03543,-0.885488,1.26306,-0.796108,-0.170182,-0.761307,-0.137689,0.68146,0.601698,-0.696173,-0.430091,-0.911572,1.07143,-0.540029,-1.15937,0.179936,0.720232,0.317847,-0.992927,-0.482163,1.05381,-0.0175085,-0.251173,0.375044,0.339174,0.426561,1.03209,-0.206493,0.302416,0.100477,1.28557,0.843147,-0.233345,1.43259,-0.921943,0.907001,0.674929,-0.218901,0.274297,0.428483,-0.647562,-0.0491249,-1.4671,0.750172,1.48766,0.440486,0.809506,0.638765,1.15225,0.189671,1.1511,0.686048,-1.91636,-0.611147,0.552027,0.59353,0.2482,-1.28826,1.3422,0.147654,-0.257275,-1.02367,0.629856,-1.12052,-0.516025,-0.902703,-0.289678,-0.526211,-1.12117,-0.326739,0.458978,-0.465397,-1.62202,0.502785,-1.01274,0.512842,-5.64383,-0.319654,-0.00520533
