lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,ar.1,sigma,nu,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0601976
# Diagonal elements of inverse mass matrix:
# 0.00294254, 12.3806, 0.914502, 0.324156, 0.127577, 0.115577, 0.346246, 0.512978, 0.690975, 0.996652, 0.107536, 0.0611637, 0.116957, 0.272375, 0.276801, 0.569864, 0.530634, 0.779439, 0.676932, 0.229967, 0.288628, 0.0150888, 0.229206
-188.753,0.937163,0.0601976,6,63,0,199.23,-0.164955,-6.26927,0.0708067,-0.803908,-1.09527,-0.448579,0.93653,-2.03876,0.608653,0.430186,1.90428,-0.286276,0.630337,0.131911,-0.801463,0.202327,1.10746,-0.15086,-0.23079,0.143901,0.374949,0.348478,2.1693,0.134836,-1.53087,-2.0857,-0.854221,1.78342,-3.88237,1.15905,0.819197,-0.0411953,0.0907058,0.0189821,-0.115331,0.0291149,0.159364,-0.0217088,-0.0332108,-10.0011,-0.164955
-185.596,0.994293,0.0601976,6,63,0,195.238,-0.0798068,-7.41147,0.226862,-0.622921,-0.781098,-0.771696,0.271886,-1.5013,-0.0608764,1.86242,3.16229,-0.210326,0.54475,0.461707,-0.316391,0.517067,0.334133,1.34813,-1.17659,0.179535,0.34505,0.363303,2.29385,0.717404,-1.96986,-2.47006,-2.44033,0.859785,-4.74756,-0.192509,5.88954,-0.037761,0.0978018,0.0828927,-0.0568033,0.0928316,0.0599886,0.242037,-0.211238,-10.4628,-0.0798068
-183.658,0.959507,0.0601976,6,63,0,197.175,-0.0887769,-10.7254,1.75992,-0.57305,-1.08122,-0.55097,1.2188,-1.8633,-0.949768,0.53419,3.29576,-0.188851,0.526545,0.833004,-0.512294,-0.0842057,1.95218,0.0625666,-0.411675,0.162799,0.210776,0.378453,3.06116,5.80027,-1.88864,-3.56345,-1.81586,4.01687,-6.141,-3.13021,1.76056,-0.0307449,0.0857212,0.135612,-0.0834011,-0.0137086,0.317813,0.0101858,-0.0670204,-10.3104,-0.0887769
-190.434,0.924435,0.0601976,6,63,0,201.534,-0.194486,-12.2824,0.0480006,-0.490988,-1.24308,-0.966607,0.232525,-2.89029,-2.40772,0.935121,2.92477,-0.47549,0.912196,0.593455,-1.10464,0.34116,1.42855,1.25988,1.11275,0.115589,0.169784,0.359075,2.67706,0.140391,-1.43603,-3.63574,-2.82711,0.680083,-8.45346,-7.04204,2.73502,-0.0549615,0.10544,0.068597,-0.127685,0.0394345,0.165125,0.145628,0.128621,-10.2396,-0.194486
-193.298,0.787896,0.0601976,5,31,0,199.274,-0.175439,-12.5303,0.60409,-0.397958,-1.2626,-0.804484,0.146621,-2.7454,-2.06151,1.27065,2.82799,-0.446223,1.09218,0.353103,-1.30843,0.0741816,1.016,0.5588,0.866462,0.0967469,0.147718,0.333846,3.10949,1.70836,-1.12542,-3.57061,-2.27507,0.414642,-7.76398,-5.82992,3.59339,-0.0431707,0.105665,0.0341616,-0.126586,0.00717684,0.0982946,0.0540621,0.0838275,-10.0897,-0.175439
-186.581,0.788471,0.0601976,6,63,0,200.666,-0.0966667,-10.331,-0.156281,-1.19414,-0.625317,-0.854789,0.0808031,-0.559735,-0.475826,-0.511845,5.5931,-0.593356,0.783631,2.16401,0.0316922,0.711304,1.40132,-0.374361,-0.572603,0.117811,0.259638,0.302047,1.71293,-0.874095,-6.67894,-3.49746,-4.78092,0.45194,-3.13065,-2.66134,-2.8628,-0.0699037,0.0923202,0.254944,0.00373369,0.0837993,0.16509,-0.0441038,-0.0674589,-11.7981,-0.0966667
-184.944,0.563421,0.0601976,6,63,0,195.736,-0.137115,-9.06792,-0.769449,-0.3957,-0.81556,-0.481572,0.198516,-1.95085,-0.69909,-0.104996,3.80809,-0.495589,0.854465,0.92844,-1.14906,1.69665,1.1283,1.22457,0.746137,0.115285,0.296919,0.379799,3.11668,-2.93013,-1.50686,-3.10573,-1.83387,0.755965,-7.42901,-2.6622,-0.399832,-0.0571341,0.0985073,0.107036,-0.132469,0.195599,0.130076,0.141175,0.0860187,-10.5276,-0.137115
-187.674,0.965818,0.0601976,5,31,0,194.573,-0.109292,-12.284,-0.580674,-1.04821,-0.729829,-0.805805,0.524117,-0.466023,-1.91285,0.305516,5.38235,-0.219868,0.259311,0.75146,-0.165567,-0.510105,1.08318,-1.5806,-0.809245,0.303218,0.139298,0.347605,2.42856,-3.12539,-5.64186,-3.9282,-4.33713,2.82098,-2.5083,-10.2956,1.64439,-0.0666681,0.0786279,0.227856,-0.050203,-0.154673,0.328439,-0.479267,-0.245378,-11.4371,-0.109292
-180.859,0.613729,0.0601976,5,31,0,197.401,-0.0623922,-11.7741,-0.194816,-0.587109,-0.927558,-0.595613,0.473968,-0.814426,-1.49507,1.4338,4.33378,-0.286217,0.640373,0.875998,-0.642251,0.488104,1.61252,-0.248444,0.119591,0.172758,0.226508,0.395636,2.92983,-0.844291,-2.5444,-4.01983,-2.58126,2.05407,-3.52954,-6.4793,6.21376,-0.0494463,0.11063,0.151336,-0.110954,0.084324,0.278576,-0.0429208,0.0206603,-10.8176,-0.0623922
-184.977,0.926012,0.0601976,5,63,0,191.961,-0.118032,-11.9442,-0.543227,-0.832173,-0.852861,-0.783461,-0.116299,-0.874117,-0.909329,1.0345,4.53972,-0.267079,0.380214,1.28184,-1.09383,0.402442,1.2408,-0.385581,-0.340772,0.260445,0.317282,0.385825,3.33324,-2.4661,-3.77783,-3.87175,-3.55669,-0.527967,-3.96825,-4.1281,4.69633,-0.0695594,0.099025,0.333849,-0.284883,0.104814,0.323161,-0.100423,-0.0887525,-10.826,-0.118032
