# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_1e3f34120881_model
# start_datetime = 2023-06-14 15:09:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpppH5Sj/standata-1e3f22e6d60e.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpppH5Sj/model_1b356bfbbe320425ea75164cb3772806-202306141209-1-12dd5f.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpppH5Sj/model_1b356bfbbe320425ea75164cb3772806-profile-202306141209-1-940e17.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,sigma,nu,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.563974
# Diagonal elements of inverse mass matrix:
# 0.0971079, 0.0718836, 0.641673
-16.7366,1,0.563974,3,7,0,17.0137,0.188226,1.09848,24.9751,-7.1474,0.188226
-16.2489,0.922447,0.563974,2,3,0,17.952,0.0277142,0.952784,31.9773,-7.57685,0.0277142
-18.5949,0.83645,0.563974,2,3,0,20.5227,0.523653,0.665399,7.26142,-6.53727,0.523653
-19.0735,0.887855,0.563974,3,7,0,23.6051,-0.731318,1.21922,30.6844,-7.64932,-0.731318
-20.463,0.983472,0.563974,2,3,0,20.8359,-0.936011,1.33826,35.6385,-8.07122,-0.936011
-17.721,0.919949,0.563974,2,7,0,22.4427,-0.0615108,1.29508,13.0937,-6.66417,-0.0615108
-16.5695,1,0.563974,3,7,0,18.4433,-0.152166,0.621544,19.5726,-6.7873,-0.152166
-16.9689,0.751022,0.563974,2,3,0,18.8879,-0.248827,0.641319,26.6057,-7.19641,-0.248827
-16.461,1,0.563974,3,7,0,17.5624,0.245556,0.799647,11.135,-6.51248,0.245556
-16.6958,0.99428,0.563974,3,7,0,17.012,-0.146755,0.614411,14.7266,-6.58574,-0.146755
-17.2937,0.916645,0.563974,3,7,0,18.199,0.32841,1.14938,29.022,-7.4121,0.32841
-17.5393,0.965443,0.563974,3,7,0,18.5443,-0.417012,0.722027,16.2764,-6.68856,-0.417012
-16.4827,1,0.563974,2,3,0,17.8621,-0.296156,0.878699,18.5848,-6.79609,-0.296156
-16.293,0.922548,0.563974,3,7,0,18.5086,0.222069,0.944432,18.6902,-6.77631,0.222069
-16.456,0.98018,0.563974,3,7,0,17.0683,0.124763,0.617808,26.4968,-7.15792,0.124763
-16.7647,0.915812,0.563974,3,7,0,17.7542,0.0576641,1.00082,10.3745,-6.55013,0.0576641
-16.3345,0.996545,0.563974,3,7,0,17.2821,-0.0844612,0.690911,35.3485,-7.77727,-0.0844612
-16.1509,0.989775,0.563974,3,7,0,16.844,-0.0471131,0.639809,22.3943,-6.92832,-0.0471131
-16.1697,0.939109,0.563974,3,7,0,17.3623,0.055183,0.973428,17.8855,-6.75124,0.055183
-17.2693,0.939923,0.563974,2,3,0,17.3652,0.315111,1.08769,12.1109,-6.58107,0.315111
-16.9614,0.989424,0.563974,2,7,0,17.5268,0.377484,0.990999,15.3967,-6.64995,0.377484
-17.2827,0.936955,0.563974,2,3,0,18.4725,0.348627,0.915374,41.8436,-8.27981,0.348627
-16.134,1,0.563974,2,3,0,17.4523,0.168614,0.868782,29.5146,-7.38904,0.168614
-16.6378,0.945759,0.563974,3,7,0,16.9958,-0.0106355,0.679073,8.12284,-6.51816,-0.0106355
-16.9891,0.974865,0.563974,2,3,0,17.3069,0.0176748,0.560023,9.87353,-6.48085,0.0176748
-17.5146,0.971057,0.563974,3,7,0,19.7338,-0.165161,0.962046,53.8818,-9.26239,-0.165161
-16.8019,1,0.563974,2,3,0,17.576,-0.234082,0.883517,41.0253,-8.24181,-0.234082
-16.762,0.958745,0.563974,3,7,0,18.0375,0.351626,0.71343,18.0999,-6.70963,0.351626
-15.9347,1,0.563974,2,3,0,16.9772,-0.0358309,0.839133,29.7234,-7.40782,-0.0358309
-16.4457,0.964037,0.563974,2,3,0,16.5796,0.0303674,1.0429,28.2859,-7.34844,0.0303674
-16.5743,0.968229,0.563974,2,3,0,17.0324,0.145458,0.922367,39.1637,-8.08161,0.145458
-16.7436,0.963984,0.563974,3,7,0,17.1661,0.0192246,0.711178,7.24403,-6.54754,0.0192246
-15.7806,0.972747,0.563974,2,7,0,18.504,0.0300205,0.734677,18.3541,-6.73177,0.0300205
-16.1088,0.978169,0.563974,3,7,0,16.2842,0.0446314,0.634555,17.7238,-6.6886,0.0446314
-17.876,0.777946,0.563974,3,7,0,19.2578,-0.0210039,1.36692,15.6059,-6.75558,-0.0210039
-18.7869,0.969452,0.563974,3,7,0,21.2668,-0.67376,0.873187,23.5826,-7.11783,-0.67376
-18.2167,1,0.563974,3,7,0,19.519,0.530037,0.715688,9.70077,-6.4991,0.530037
-18.1877,0.987683,0.563974,3,7,0,18.8293,-0.556789,0.995714,38.134,-8.09385,-0.556789
-18.4619,0.982198,0.563974,3,7,0,19.1037,0.439227,0.587403,19.1116,-6.74109,0.439227
-18.25,1,0.563974,2,3,0,19.1212,0.495687,0.645511,15.0108,-6.58204,0.495687
-17.9855,1,0.563974,3,7,0,19.2126,0.523123,0.763352,10.024,-6.50562,0.523123
-20.359,0.92706,0.563974,3,7,0,22.3672,-0.644079,0.75545,49.5062,-8.94306,-0.644079
-18.0901,1,0.563974,2,3,0,21.0459,-0.308743,0.829481,58.9199,-9.66872,-0.308743
-20.1133,0.657271,0.563974,3,7,0,21.9173,0.50882,0.677307,2.61361,-7.09531,0.50882
-18.7342,0.982782,0.563974,3,7,0,20.9723,-0.208224,0.515496,8.35018,-6.50994,-0.208224
-17.6382,0.987628,0.563974,3,7,0,21.8019,0.321663,1.26583,25.1908,-7.19835,0.321663
-16.6212,0.994408,0.563974,2,3,0,17.8735,0.246327,0.98326,14.0025,-6.60357,0.246327
-18.108,0.952541,0.563974,2,7,0,19.0323,-0.280071,0.560958,20.1748,-6.8236,-0.280071
-17.5561,0.999339,0.563974,3,7,0,19.9668,0.0155419,0.83349,5.12591,-6.70135,0.0155419
-19.3371,0.871089,0.563974,3,7,0,21.1093,0.650518,1.46032,30.4501,-7.59912,0.650518
-17.4928,0.714263,0.563974,3,7,0,25.7178,-0.390095,0.853469,10.0588,-6.56551,-0.390095
-17.385,0.998018,0.563974,3,7,0,17.9662,0.44775,0.717576,18.6945,-6.73942,0.44775
-20.1872,0.569979,0.563974,3,7,0,23.5107,-0.480921,1.79098,15.2475,-6.92188,-0.480921
-18.0585,1,0.563974,2,3,0,20.7032,-0.447736,1.13289,40.7445,-8.3,-0.447736
-16.9943,0.973836,0.563974,3,7,0,18.9013,0.0685262,0.58367,7.82298,-6.50864,0.0685262
-18.8784,0.977529,0.563974,2,7,0,21.6632,0.234792,0.490612,3.4235,-6.87934,0.234792
-19.9478,0.842676,0.563974,2,3,0,20.3615,0.496468,0.500423,3.35595,-6.8972,0.496468
-16.3202,0.971157,0.563974,3,7,0,21.0905,0.16447,0.995491,19.7447,-6.83824,0.16447
-17.924,0.927733,0.563974,3,7,0,18.3612,-0.0810225,0.529738,7.20849,-6.53242,-0.0810225
-21.5523,0.862665,0.563974,2,3,0,22.0166,0.39132,0.377036,7.98223,-6.47869,0.39132
-20.8424,1,0.563974,1,1,0,21.9484,0.41087,0.398403,6.8712,-6.51964,0.41087
-18.8906,1,0.563974,2,3,0,21.1657,0.354033,0.490908,4.41092,-6.72455,0.354033
-19.8808,0.953303,0.563974,2,3,0,20.8081,0.157389,0.404891,3.37373,-6.88263,0.157389
-17.6807,1,0.563974,2,3,0,20.0075,0.219244,0.664096,4.67273,-6.71441,0.219244
-19.1364,0.891373,0.563974,3,7,0,21.5249,0.183407,1.29266,59.2879,-9.76026,0.183407
-16.6617,1,0.563974,2,3,0,19.0811,0.109527,0.951563,10.107,-6.53735,0.109527
-16.67,0.948499,0.563974,3,7,0,18.7839,-0.168933,0.78685,42.7776,-8.35173,-0.168933
-17.3461,0.859974,0.563974,3,7,0,19.1396,0.120046,1.06926,8.56819,-6.57229,0.120046
-17.8068,0.993054,0.563974,2,3,0,17.9689,0.219305,1.1561,8.5992,-6.58835,0.219305
-19.5384,0.935125,0.563974,3,7,0,20.5674,0.19672,1.646,11.091,-6.71573,0.19672
-17.8539,0.993611,0.563974,3,7,0,19.8729,-0.141402,0.566561,40.8384,-8.17053,-0.141402
-18.878,0.657627,0.563974,3,7,0,21.8235,0.22967,1.35686,7.64858,-6.65989,0.22967
-18.3813,1,0.563974,3,7,0,19.4548,0.0181845,0.497011,33.6833,-7.62765,0.0181845
-16.4968,0.958369,0.563974,2,3,0,19.324,0.0861411,0.832917,8.99563,-6.52205,0.0861411
-16.8986,0.97741,0.563974,2,7,0,17.9165,0.263876,1.05984,31.3271,-7.54642,0.263876
-17.2932,0.957879,0.563974,3,7,0,18.7732,0.395746,0.949653,10.4409,-6.53498,0.395746
-16.8601,0.973982,0.563974,2,7,0,18.1152,0.041155,1.1095,13.6856,-6.62822,0.041155
-17.5894,0.968102,0.563974,2,3,0,17.8383,-0.0415046,1.13109,8.52243,-6.59565,-0.0415046
-17.5862,0.98945,0.563974,3,7,0,19.0528,-0.505492,0.849271,19.7182,-6.8755,-0.505492
-17.9144,0.961923,0.563974,3,7,0,19.2638,-0.0854253,0.996325,60.1724,-9.78068,-0.0854253
-17.1709,1,0.563974,3,7,0,18.6701,0.112591,0.728342,5.67392,-6.63275,0.112591
-16.4213,0.987962,0.563974,3,7,0,17.2929,0.037749,0.812284,42.1348,-8.29079,0.037749
-16.4522,0.983542,0.563974,3,7,0,17.1738,0.227066,0.979674,16.571,-6.69155,0.227066
-15.9999,0.997968,0.563974,3,7,0,16.5715,-0.00537279,0.765401,32.9161,-7.61079,-0.00537279
-16.4339,0.686048,0.563974,2,7,0,19.7807,-0.0478354,0.65497,10.5452,-6.49865,-0.0478354
-17.1003,0.967004,0.563974,2,7,0,17.382,0.204874,1.04611,40.3558,-8.19395,0.204874
-16.4955,0.991746,0.563974,2,7,0,17.6285,0.329972,0.777937,20.4179,-6.8307,0.329972
-20.6535,0.808588,0.563974,3,7,0,23.212,0.830471,1.56298,10.3548,-6.71446,0.830471
